172705 108.875381 964.148987 3.865000
31409 107.314972 942.931030 2.242000
200110 101.584351 877.786011 9.865000
32430 66.825867 826.698975 3.149000
30644 496.277985 902.333984 90.222000
59689 73.772659 806.265991 1.918000
286095 455.787506 854.859985 56.715000
12167 431.335480 830.208984 32.462002
180463 67.124397 800.070984 2.923000
48290 445.732513 843.538025 47.926998
235046 472.320007 869.304993 75.334999
21460 114.975433 793.896973 3.445000
262737 79.518661 795.260010 4.974000
158585 81.895622 786.901978 3.168000
986 422.075500 811.098022 33.053001
12157 73.979462 777.966003 2.229000
115415 407.283997 793.403992 21.164000
274502 60.207348 770.591003 1.991000
164469 418.276001 800.731995 35.820000
299333 52.621162 765.979980 1.844000
167454 53.262112 765.392029 1.594000
294090 67.178604 764.793030 1.527000
224254 41.404236 764.737000 1.717000
25792 104.469788 782.940002 22.589001
105810 70.449234 763.385010 3.102000
125473 451.652527 831.296021 72.009003
192568 590.011963 969.297974 210.725998
290146 458.187988 835.192993 81.182999
245861 466.726501 843.442993 90.010002
41318 496.107483 871.885986 120.329002
75007 474.419006 850.015991 98.821999
297439 398.618500 773.536987 23.700001
132093 142.448425 759.916016 12.698000
169512 111.817001 748.312988 3.651000
142350 435.844482 806.706970 64.982002
39164 60.368721 739.393982 2.439000
209123 72.141991 739.140991 2.205000
172652 470.161499 834.078979 106.244003
181963 47.952415 728.742004 2.651000
18605 71.671478 729.921021 4.004000
74144 458.804993 820.390991 97.219002
110567 434.691986 795.599976 73.783997
127819 453.042023 813.645020 92.439003
113502 78.969521 723.513000 3.010000
233969 66.190308 723.768005 3.794000
226944 51.934814 722.146973 2.379000
73697 65.228233 723.130005 3.826000
147623 418.018524 776.952026 59.084999
165538 450.187012 808.963013 91.411003
95796 116.052490 728.731995 11.419000
